Ranking_Difference,Attempts_on_Target,Corner_Kicks,Crosses,Ball_Possession_Percent,Completed_Passes,Completed_Line_Breaks,Defensive_Pressures,Forced_Turnovers,Second_Balls,Saves,Save_Percentage,Distance_Covered_km,Zone4_Low_Speed_Sprinting
32.0,6.0,16.0,52.0,65.5,752.0,161.0,164.0,45.0,118.0,2.0,66.66666666666666,152.4,6.6
-32.0,3.0,6.0,20.0,23.7,166.0,51.0,410.0,59.0,71.0,5.0,83.33333333333334,143.8,6.1
-1.0,2.0,5.0,10.0,31.1,307.0,62.0,340.0,51.0,79.0,4.0,80.0,137.6,5.2
1.0,5.0,8.0,19.0,61.4,813.0,94.0,244.0,52.0,75.0,1.0,50.0,139.5,6.5
12.0,7.0,6.0,30.0,61.6,652.0,118.0,200.0,40.0,74.0,1.0,50.0,110.0,4.9
-12.0,2.0,2.0,12.0,30.3,286.0,72.0,362.0,34.0,47.0,5.0,71.42857142857143,114.9,5.3
35.0,12.0,9.0,22.0,53.5,498.0,129.0,213.0,35.0,64.0,3.0,100.0,107.7,4.9
-35.0,3.0,1.0,11.0,38.0,296.0,71.0,258.0,34.0,56.0,9.0,75.0,107.3,4.6
-2.0,5.0,14.0,33.0,41.3,353.0,90.0,318.0,45.0,72.0,2.0,50.0,105.8,5.4
2.0,4.0,3.0,15.0,50.2,442.0,103.0,216.0,31.0,51.0,4.0,80.0,114.5,6.2
9.0,3.0,3.0,10.0,37.1,492.0,76.0,215.0,33.0,50.0,1.0,100.0,113.3,6.2
-9.0,1.0,8.0,27.0,52.9,411.0,69.0,191.0,35.0,59.0,1.0,33.33333333333333,105.0,5.6
42.0,7.0,5.0,42.0,53.5,589.0,125.0,246.0,35.0,69.0,1.0,50.0,115.5,5.9
-42.0,2.0,3.0,16.0,37.9,356.0,91.0,336.0,36.0,48.0,5.0,71.42857142857143,114.0,5.7
47.0,2.0,4.0,19.0,44.0,362.0,82.0,206.0,43.0,62.0,3.0,100.0,117.0,5.9
-47.0,3.0,3.0,12.0,47.7,381.0,52.0,208.0,32.0,57.0,0.0,0.0,117.1,5.9
6.0,5.0,4.0,27.0,48.3,607.0,109.0,351.0,45.0,93.0,3.0,60.0,160.5,8.5
